"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4445","NETWORK1","","Mon May 19 09:21:31 UTC 2025","passed","Mon May 19 09:21:36 UTC 2025","","NETWORK1.spec.js","",""
"","2806","Add item to cart","","Mon May 19 09:21:38 UTC 2025","passed","Mon May 19 09:21:41 UTC 2025","","fixture-test.spec.js","",""
"","2449","VALID LOGIN","","Mon May 19 09:21:31 UTC 2025","passed","Mon May 19 09:21:34 UTC 2025","","fixture-test.spec.js","",""
"","846","Shopping","","Mon May 19 09:21:43 UTC 2025","passed","Mon May 19 09:21:44 UTC 2025","","shopping2.spec.js","",""
"","1166","INVALID LOGIN","","Mon May 19 09:21:37 UTC 2025","passed","Mon May 19 09:21:38 UTC 2025","","fixture-test.spec.js","",""
"","4074","Shopping online","","Mon May 19 09:21:46 UTC 2025","passed","Mon May 19 09:21:50 UTC 2025","","WEBAPI1.spec.js","",""
"","7148","NETWORK2","","Mon May 19 09:21:39 UTC 2025","passed","Mon May 19 09:21:46 UTC 2025","","NETWORK2.spec.js","",""
"","8986","BROWSER API","","Mon May 19 09:21:52 UTC 2025","passed","Mon May 19 09:22:01 UTC 2025","","WEBAPI2.spec.js","",""
"","848","Shopping for Sauce Labs Onesie","","Mon May 19 09:21:42 UTC 2025","passed","Mon May 19 09:21:43 UTC 2025","","shopping2.spec.js","",""
"","979","Shopping for Sauce Labs Bike Light","","Mon May 19 09:21:41 UTC 2025","passed","Mon May 19 09:21:42 UTC 2025","","shopping2.spec.js","",""
"","9606","rahul shetty","","Mon May 19 09:21:44 UTC 2025","passed","Mon May 19 09:21:54 UTC 2025","","shopping3.spec.js","",""
